Caja;REG;Caja_ID;GZ_ID;lat;lon;START_;END_;nota;tipo;Simbolo;Caja superior
Cuenca;QUI;RCQUCU00;5600002;-2,897524;-79,004424;1722;9999;Morales Padrón:  siglo XVI!;Caja real;Principal;
Guayaquil;QUI;RCQUGU00;5600003;-2,14967;-79,864157;1600;9999;;Caja real;Principal;
Jaén;QUI;RCQUJA00;5600004;-5,709412;-78,807482;1762;9999;;Caja real;Principal;
Popayán;QUI;RCQUPO00;5600005;2,441852;-76,606062;1551;9999;;Principal;Principal;
Buga;NGR;RCNGBU00;5600032;3,886797;-76,283842;1793;9999;;Subalterna;Subalterna;Cartago
Santa Fe de Bogota;NGR;RCNGSF00;5000001;;;1570;1604;;Principal;Principal;
Calí;NGR;RCNGCGCA;5600033;3,451442;-76,53233;1778;9999;;Subalterna;Subalterna;Cartago
Anserma;NGR;RCNGCAAN;5600036;5,231158;-75,786104;1659;9999;;Subalterna;Subalterna;Cartago
Cartago;NGR;RCNGCG00;5600037;4,812943;-75,704027;1606;9999;;Principal;Principal;
Toro;NGR;RCNGCGTO;5600040;4,608947;-76,078133;1776;9999;;Subalterna;Subalterna;Cartago
Barbacoas;QUI;RCQUPOBA;5600050;1,671745;-78,137512;1752;9999;;Subalterna;Subalterna;Popayán
Iscuandé;QUI;RCQUPOIS;5600052;2,450062;-77,980957;1751;9999;;Subalterna;Subalterna;Popayán
Tumaco;QUI;RCQUPOTU;5600070;1,808152;-78,76545;1793;9999;Existió en 1793 (Fuente:Estado_1794).;Subalterna;Subalterna;Popayán
Vega de Supía;NGR;RCNGCGVS;5600169;5,455822;-75,650088;1774;9999;;Subalterna;Subalterna;Cartago
Raposo;QUI;RCQUPORA;5600207;3,816816;-77,002898;1793;9999;Existió en 1793 (Fuente:Estado_1794).;Subalterna;Subalterna;Popayán
Micay;QUI;RCQUPOMI;5600730;2,844329;-77,248604;1793;9999;Existió en 1793 (Fuente:Estado_1794).;Subalterna;Subalterna;Popayán
Lima;PER;TCPELI00;6000001;-12,046653;-77,029981;1605;9999;;Tribunal de cuentas;Tribunal;
Cuzco;PER;RCPECU00;6000002;-13,516718;-71,97888;1532;9999;;Caja real;Principal;
Trujillo;PER;RCPETR00;6000003;-8,111702;-79,028761;1601;9999;;Caja real;Principal;
Huamanga;PER;RCPEHU00;6000006;-13,15921;-74,225082;1764;9999;;Caja real;Principal;
Arequipa;PER;RCPEAR00;6000007;-16,398223;-71,536727;1599;9999;;Caja real;Principal;
Arica;PER;RCPEAR00;6000021;-18,478018;-70,320716;1642;9999;Suprimida en ocasiones?;Caja real;Principal;
Vico y Pasco;PER;CRPEPA00;6001177;-10,670532;-76,253517;1670;9999;Morales Padrón: 1722, pero hay cuentas anteriores;Caja real;Principal;
Santiago de Chile;CHL;RCCHSA00;7000001;-33,43756;-70,65006;1567;9999;;Caja real;Principal;
Concepción;CHL;RCCHCO00;7000002;-36,738907;-72,993604;1708;9999;;Caja real;Principal;
Valdivia;CHL;RCCCVA00;7000005;-39,815128;-73,242889;1767;9999;;Caja real;Principal;
Chiloé;CHL;RCCHCH00;7000007;-41,86435;-73,82074;1782;9999;;Caja real;Principal;
Puno;CHA;RCCCCH00;8000002;-15,84057;-70,027886;1803;9999;;Caja real;Principal;
Cochabamba;CHA;RCCCCB00;8000004;-17,393542;-66,157014;1773;9999;;Caja real;Principal;
La Paz;CHA;RCCCLP00;8000005;-16,496255;-68,134106;1601;9999;;Caja real;Principal;
Potosí;CHA;RCCCPO00;8000006;-19,589281;-65,753511;1549;9999;;Caja real;Principal;
Oruro;CHA;RCCCOR00;8000010;-17,969466;-67,114364;1606;9999;Morales Padrón: 1609;Caja real;Principal;
Buenos Aires;RPL;RCRPBA00;9000001;-34,6079;-58,373221;1768;9999;;Tribunal de cuentas;Tribunal;
Córdoba;RPL;RCRPCO00;9000002;-31,4213;-64,18855;1783;9999;;Caja real;Principal;
Salta;RPL;RCRPSA00;9000003;-24,78928;-65,41058;1783;9999;;Caja real;Principal;
Tucumán;RPL;RCRPTU00;9000004;-26,83025;-65,20424;1760;9999;;Caja real;Principal;
Paraguay;RPL;RCRPPA00;9000006;-25,281564;-57,632547;1772;9999;;Caja real;Principal;
Mendoza;RPL;RCRPME00;9000013;-32,889905;-68,841502;1778;9999;;Caja real;Principal;
Córdoba;RPL;RCRPCO00;9000002;;;1760;1782;;Subalterna;Subalterna;Jujuy
Salta;RPL;RCRPSA00;9000003;;;1760;1782;;Subalterna;Subalterna;Jujuy
La Rioja;RPL;RCRPLR00;9000014;-29,415675;-66,855908;1760;9999;;Caja real;Principal;
San Juan;RPL;RCRPSJ00;9000015;;;1779;9999;;Caja real;Principal;
Santiago Estero;RPL;RCRPES00;9000017;-25,823055;-65,914767;1760;9999;;Caja real;Principal;
Catamarca;RPL;RCRPCA00;9000018;-27,649596;-67,026362;1760;9999;;Caja real;Principal;
Corrientes;RPL;RCRPCR00;9000022;-27,472034;-58,832866;1771;9999;;Caja real;Principal;
Santa Fe;RPL;RCRPSF00;9000023;-31,114534;-60,581756;1771;9999;;Caja real;Principal;
Montevideo;RPL;RCRPMV00;9000024;-34,907247;-56,204424;1770;9999;;Caja real;Principal;
Maldonado;RPL;RCRPMA00;9000033;-34,908716;-54,958272;1786;9999;;Caja real;Principal;
